telling  ;datum;naxxyyzzinventarisnummer;naxxyyzzfolioxxyyzznummer;scheepsnaam;scheepstype;plaatsxxyyzzparthesius;lokatie;aantalxxyyzzpersonen;aantalxxyyzzzeevarendenxxyyzzeuropees;aantalxxyyzzzeevarendenxxyyzzaziatisch;aantalxxyyzzsoldatenxxyyzzeuropees;aantalxxyyzzsoldatenxxyyzzaziatisch;aantalxxyyzzoverig;azxxyyzzaantalxxyyzzvoorman;azxxyyzzaantalxxyyzzvoormansmaat;azxxyyzzaantalxxyyzzkok;azxxyyzzaantalxxyyzzmatrozen;azxxyyzzaangenomenxxyyzzplaats;azxxyyzzaangenomenxxyyzzparthesius;azxxyyzzaangenomenxxyyzzjaar;azxxyyzzaangenomenxxyyzzjaarxxyyzznorm;azxxyyzzaanduidingxxyyzzmatrozen;azxxyyzzaanduidingxxyyzzvoorman;azxxyyzzloonxxyyzzvoorman;azxxyyzzloonxxyyzzvoormansmaat;azxxyyzzloonxxyyzzkok;azxxyyzzloonxxyyzzmatrozen;azxxyyzzregistratiexxyyzzwijze;azxxyyzzregistratiexxyyzzkop;azxxyyzzregistratiexxyyzzopmerking;asxxyyzzaangenomenxxyyzzplaats;asxxyyzzaangenomenxxyyzzjaar;asxxyyzzaanduidingxxyyzzsoldaten;asxxyyzzaanduidingxxyyzzvoorman;asxxyyzzloonxxyyzzhoofd;asxxyyzzloonxxyyzzcorporaal;asxxyyzzloonxxyyzzsoldaat;asxxyyzzregistratiexxyyzzwijze;asxxyyzzregistratiexxyyzzkop;asxxyyzzregistratiexxyyzzopmerking;opmerkingen;voornaam;tussenvoegsel;achternaam;geboorteplaats;aankomstxxyyzzazie;notitie;dasxxyyzzlinkxxyyzzheen;dasxxyyzzlinkxxyyzzterug
476;1698;11714;56;Schoonderloo;Schip;79;Batavia;57;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1710.1;6047.1
477;1698;11714;59;Walenburg;Fluijt;79;Batavia;98;73;25;;;;2;;;23;niet gegeven;;;;Mattroos;Bootsman (2 bootslieden);12;;;7.5;Achternamen;Inlanders;;;;;;;;;;;;;;;;;;;1486.1;
478;1698;11714;64;Andromeda;Jagt;79;Batavia;28;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
479;1698;11714;65;Hobree;Schip;79;Batavia;44;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1590.2;
480;1698;11714;67;De Nierop;Fluijt;79;Batavia;45;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1646.3;
481;1698;11714;69;De Nijptangh;Hoeker;79;Batavia;27;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1741.1;
482;1698;11714;71;Tamboer;Jagt;79;Batavia;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1641.1;
483;1698;11714;72;Leeurick (Leewerick);Galjoot;79;Batavia;13;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1767.1;
484;1698;11714;73;De Snoeker;Galjoot;79;Batavia;13;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
485;1698;11714;74;De Pruijm;Galjoot;79;Batavia;14;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
486;1698;11714;75;De Hengelaar;Chialoup;79;Batavia;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
487;1698;11714;75;De Geregtigheijt;Chialoup;79;Batavia;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
488;1698;11714;75;Diverse pantjalangs: geen namen genoemd (onderaan aangeduid als ' 's Comp's Oorlogh Vaartuijgen');Pantjalang;79;Batavia;93;43;50;;;;;;;50;Batavia, Bougijs, Timor, Zijlon, etc;80;;;Mattroos;Niet;;;;9;Voornamen;;;;;;;;;;;;;;;;;;;;;
489;1698;11714;79;Het Haasje;Fluijt;86;Banda, ter rheede;34;31;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1755.1;
490;1698;11714;81;De Craanvogel;Chialoup;86;Banda, ter rheede;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
491;1698;11714;82;Ceffingh?;Chialoup;86;Banda, ter rheede;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
492;1698;11714;82;Commer;Chialoup;86;Banda, ter rheede;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
493;1698;11714;83;Waijer;Chialoup;86;Banda, ter rheede;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
494;1698;11714;83;De Chirabon;Chialoup;86;Banda, ter rheede;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
495;1698;11714;84;De Juffrouw Pieternelle;Chialoup;73;Japara, ter rheede (Noordoostkust Java);9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
496;1698;11714;85;De Swaart Vis;Pantjalang;73;Japara, ter rheede (Noordoostkust Java);13;7;;;6;;;;;;;;;;;;;;;;;;;niet gegeven;;Soldaat;Niet;;;9;;;Voornamen, met herkomst. Onder kop 'Bougijsen'.;;;;;;;;;
497;1698;11714;86;De Koningsvis;Pantjalang;73;Japara, ter rheede (Noordoostkust Java);12;7;;;5;;;;;;;;;;;;;;;;;;;niet gegeven;;Soldaat;Niet;;;9;;;Voornamen, met herkomst. Onder kop 'Inlanders'.;;;;;;;;;
498;1698;11714;86;De Stompvis;Pantjalang;73;Japara, ter rheede (Noordoostkust Java);13;7;;;6;;;;;;;;;;;;;;;;;;;niet gegeven;;Soldaat;Niet;;;9;;;Voornamen. Geen herkomst. Onder kop 'Inlanders'.;;;;;;;;;
499;1698;11714;87;Padjallang;Pantjalang;73;Japara, ter rheede (Noordoostkust Java);7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500;1698;11714;88;Den Blauwenberge;Jagt;73;Sourabaja;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
501;1698;11714;89;Cadirij;Jagt;73;Sourabaja;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
502;1698;11714;89;De Fortuijn;Jagt;73;Sourabaja;22;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
503;1698;11714;91;"Diverse pantjalangs: Platvis; Bagger; Steenbrassem";Pantjalang;73;Sourabaja;50;18;;;32;;;;;;;;;;;;;;;;;;;niet gegeven;;Soldaat;Corporaal;;12;9;;;Voornamen. Alleen corporaal heeft achternaam. Geen herkomst. Onder kop 'Inlanders'.;;;;;;;;;
504;1698;11714;93;Honsolaredijck;Schip;73;Japara, ter rheede (Noordoostkust Java);78;64;14;;;;1;;;13;Bengalen;44;1697;1697;Mattroos;Tandel;12;;;7.5;Achternamen;Inlanders;;;;;;;;;;;;;;;;;;;1603.4;
505;1698;11714;97;"Diverse pantjalangs: De Cacop; De Clipvis; De Witvis";Pantjalang;73;Japara, ter rheede (Noordoostkust Java);18;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
506;1698;11714;98;Elisabeth;Jagt;61;Malacca, ter rheede;17;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1569.1;
507;1698;11714;99;Elisabeth / Hisabet?;Chialoup;61;Malacca, ter rheede;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
508;1698;11714;100;De Houtsnip;Chialoup;61;Malacca, ter rheede;18;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
509;1698;11714;101;Ceram;Chialoup;85;Amboina, ter reede;17;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
510;1698;11714;102;De Haas;Chialoup;85;Amboina, ter reede;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
511;1698;11714;102;De Peperbruijn;Jagt;85;Amboina, ter reede;22;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
512;1698;11714;103;De Koning van Bantam;Jagt;88;Banka, straat van;42;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
513;1698;11714;105;Wijk op Zee;Schip;15;Zee;52;42;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
514;1698;11714;108;Oosthuijsen;Fluijt;15;Zee;63;43;20;;;;1;;;19;Bengalen;44;1696;1696;Mattroos;Bootsman;12;;;7.5;Achternamen;Inlanders;;;;;;;;;;;;;;;;;;;1689.3;
515;1698;11714;111;Langewijck;Fluijt;15;Zee;69;54;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1652.5;
516;1698;11714;115;De Pampus;Jagt;15;Zee;76;61;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1692.3;
517;1698;11714;118;Swaegh;Fluijt;15;Zee;45;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1705.1;
518;1698;11714;120;Vosmaer;Schip;15;Zee;124;73;;25;26;;;;;;;;;;;;;;;;;;;Batavia, Bantenappo, Manillo, Limoa, etc;;Soldaat;Corporaal;;12;9;;;Voornamen, met herkomst. Onder kop 'Inlandse militairen';;;;;;;;1738.2;6006.2
519;1698;11714;126;Het Hof van Ilpendam;Schip;15;Zee;164;72;;29;55;8;;;;;;;;;;;;;;;;;"Temidden bemanningslijst onderaan lijst met matrozen staat een matroos op inlandse gage (7 1/2 gulden), in Azië aangenomen, te weten 'Nicolaes Perera van Bengalen'. Daaronder een jongen 'Joost Ilienbaard van Waebel' voor 6 gulden; daaronder een jongen 'Benjamin van Demeer van Batavia' voor 5 gulden.";Batavia, Manipa, Wabjo, Coelo, Boam, etc;;Soldaat;Corporaal;;12;9;;;Voornamen, met herkomst. Onder kop 'Inlandse militairen';NB: 8 passagiers;;;;;;;1687.2;6002.2
520;1698;11714;134;Oostensteijn;Schip;15;Zee;108;90;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1762.2;6003.2
521;1698;11714;139;Rijgersdaal;Schip;15;Zee;105;82;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1684.2;6004.2
522;1698;11714;142;Susanna;Jagt;15;Zee;54;35;19;;;;;;;19;;;;;19 Moorse of Inlandse mattroosen;Niet;;;;7.5;Per groep;;19 Moorse of Inlandse mattroosen';;;;;;;;;;;;;;;;;;;
523;1698;11714;144;Joloon;Chialoup;15;Zee;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
524;1698;11714;145;Cuijper;Chialoup;15;Zee;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
525;1698;11714;145;Den Aerdenhout;Jagt;15;Zee;22;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
526;1698;11714;146;De Lastdrager;Chialoup;15;Zee;1;1;;;;;;;;;;;;;;;;;;;;;Betreft 1 quartiermeester!;;;;;;;;;;;;;;;;;;;
527;1698;11714;146;De Conijn;Chialoup;15;Zee;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
528;1698;11714;147;Middelburgh;Chialoup;53;Palembangh;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529;1698;11714;148;De Bije;Jagt;44;Houglij, ter rheede (Bengalen);20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1633.1;
530;1698;11714;149;Huijs te Duijnen;Jagt;44;Houglij, ter rheede (Bengalen);85;65;;8;12;;;;;;;;;;;;;;;;;;;;;;Sergiant;15;;9;;;Voornamen, soms met herkomst. Soms achternamen. Onder kop 'Inlanders';;;;;;;;1736.2;6070.2
531;1698;11714;153;Saamslagh;Schip;44;Houglij, ter rheede (Bengalen);76;55;21;;;;1;;1;19;Bengalen;44;1696;1696;19 gemeenen mattroossen;;12;;10;7.5;Per groep, voorlieden met achternamen;Inlanders;Bootsman (Jan Perera) en kok (Anthonij van Bengalen) wel met naam genoemd.;;;;;;;;;;;;;;;;;;1625.2;
532;1698;11714;156;Beekesteijn;Jagt;44;Houglij, ter rheede (Bengalen);52;35;17;;;;1;;3;13;niet gegeven;;;;Mattroos / Moors mattroos;Bootsman (met kok en 2 koksmaats);12;;10.5;7.5;Achternamen;Inlanders;"NB: op volgende pagina hebben 6 zeelieden 'Moors mattroos' achter zich vermeld, zij hebben alleen een voornaam; scheiding komt overeen met nieuwe pagina.";;;;;;;;;;;;;;;;;;1696.1;6016.1
533;1698;11714;159;Emmenes;Fluijt;44;Houglij, ter rheede (Bengalen);28;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1686.4;
534;1698;11714;160;Huijs Dieren;Schip;93;Siam, ter rheede;61;59;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;NB: 2 passagiers;;;;;;;1766.2;6009.2
535;1698;11714;163;Spaare;Jagt;93;Siam, ter rheede;62;60;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;NB: 2 passagiers;;;;;;;1681.1;
536;1699;11715;1;Venhuijsen;Fluijt;79;Batavia;71;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1785.1;6039.1
537;1699;11715;4;Nigteveght;Schip;79;Batavia;114;114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1794.3;6022.3
538;1699;11715;10;Den Eenhoorn;Schip;79;Batavia;65;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1776.5;
539;1699;11715;13;De Stads Ceulen;Schip;79;Batavia;90;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1782.2;6046.2
540;1699;11715;17;De Purmer;Schip;79;Batavia;64;48;16;;;;1;;1;14;Bengalen;44;1696;1696;Inlands mattroos;Inlands bootsman (met inlands kok);12;;10.5;7.5;Voornamen, voorlieden met achternamen;Inlanders;Bootsman (Secbo Sadogh) en kok (Augstijn Rosairo) wel met achternaam vermeld.;;;;;;;;;;;;;;;;;;1694.4;
541;1699;11715;20;De Koning van Bantam;Jagt;79;Batavia;38;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
542;1699;11715;21;Java;Schip;79;Batavia;80;38;42;;;;2;;;40;Bengalen;44;;;40 mattroossen;Bootsman (2 bootslieden);12;;;7.5;Per groep, voorlieden met voornamen;Inlanders;Bootslieden (Latol en Bhagma) wel met naam genoemd, alleen voornaam.;;;;;;;;;;;;;;;;;;1611.5;
543;1699;11715;24;Mijdreght;Schip;79;Batavia;48;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1750.3;6021.3
544;1699;11715;26;Jerusalem;Fluijt;79;Batavia;61;61;;;;;;;;;;;;;;;;;;;;;Temidden bemanningslijst onderaan lijst met matrozen staat een matroos in Azië aangenomen, te weten 'Johannes Preijck van Batavia', voor 7 gulden (andere matrozen voor 9 tot 11 gulden!).;;;;;;;;;;;;;;;;;;1778.2;6042.2
545;1699;11715;29;Berkenrode;Fluijt;79;Batavia;124;112;12;;;;;;2;10;niet gegeven;;;;10 moorse mattroossen;Niet (wel kok en koksmaat, vermeld als toepassen);;;10.5;7.5;Per groep, koks met achternamen;; '12 Inlanders te weten, 2 toepassen, Pedro Pichues, kok, Jan Abreeul, koksmaat, 10 moorse mattroossen'.;;;;;;;;;;;;;;;;;;1780.2;6030.2
546;1699;11715;34;Saamslagh;Schip;79;Batavia;46;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1625.2;
547;1699;11715;36;Eemlandt;Jagt;79;Batavia;38;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1545.2;
548;1699;11715;38;Emmenes;Fluijt;79;Batavia;42;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1686.4;
549;1699;11715;40;Pampus;Jagt;79;Batavia;75;53;22;;;;1;;1;20;niet gegeven;;;;20 mattroossen;Bootsman (met kok);12;;10.5;7.5;Per groep, voorlieden met achternamen;Inlanders;Bootsman (Lobbe Sarangh) en kok (Joan de Silva) wel met naam.;;;;;;;;;;;;;;;;;;1692.3;
550;1699;11715;43;Peperthuijn;Jagt;79;Batavia;26;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
551;1699;11715;44;De Lastlooper;Jagt;79;Batavia;32;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
552;1699;11715;45;De Drie Croonen;Schip;79;Batavia;136;136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1783.3;6037.3
553;1699;11715;51;Oostvoorn;Jagt;79;Batavia;23;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554;1699;11715;53;De Snoeper;Galjoot;79;Batavia;13;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1709.4;
555;1699;11715;53;Oosthuijsen;Fluijt;79;Batavia;29;29;;;;;;;;;;;;;;;;;;;;;Verschillende bemanningsleden in Azië aangenomen en aldaar geboren (Colombo), o.m. zijlmaker en jongen.;;;;;;;;;;;;;;;;;;1689.3;
556;1699;11715;55;De Hengelaar;Chialoup;79;Batavia;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
557;1699;11715;55;Elisabeth;Chialoup;79;Batavia;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
558;1699;11715;56;De Leeuwerick;Galjoot;79;Batavia;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1767.1;
559;1699;11715;56;De Pier;Galjoot;79;Batavia;12;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
560;1699;11715;57;De Potvisch;Pantjalang;79;Batavia;9;2;7;;;;;;;7;Lamatti, Goa, Ternaten, etc;12;;;Mattroos;Quartiermeester (met matroos, beide Europeanen! Onder aparte kop 'Europiaenen');;;;9;Voornamen;Inlanders;Onder leiding van Europese quartiermeester en matroos.;;;;;;;;;;;;;;;;;;;
561;1699;11715;57;"Diverse pantjalangs: De Schelvis; Tangerang";Pantjalang;79;Batavia;20;8;12;;;;;;;12;niet gegeven;;;;12 Inlanders;;;;;9;Per groep;;Onder leiding van Europese quartiermeesters en matrozen.;;;;;;;;;;;;;;;;;;;
562;1699;11715;58;De Wind;Jagt;15;Zee;49;38;11;;;;1;;;10;niet gegeven;;;;Mattroos;Sergiant;12;;;7.5;Achternamen;Inlanders;;;;;;;;;;;;;Jan;;Gerloffsz;Harlingen;;;1764.2;
563;1699;11715;61;De Handboogh;Fluijt;15;Zee;57;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1759.4;6025.4
564;1699;11715;63;Concordia;Schip;15;Zee;57;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1765.1;6018.1
565;1699;11715;66;De Pool;Jagt;84;Maccassar, ter rheede;37;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1768.1;
566;1699;11715;68;Joloon;Chialoup;84;Maccassar, ter rheede;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
567;1699;11715;69;Goa;Chialoup;84;Maccassar, ter rheede;12;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
568;1699;11715;70;De Geregtigheijt;Chialoup;84;Maccassar, ter rheede;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
569;1699;11715;70;De Klipvis;Pantjalang;84;Maccassar, ter rheede;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
570;1699;11715;71;De Cacop;Pantjalang;84;Maccassar, ter rheede;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
571;1699;11715;71;De Witvis;Pantjalang;84;Maccassar, ter rheede;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
572;1699;11715;71;Blauwenbergh;Jagt;73;Japara, ter rheede (Noordoostkust Java);20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
573;1699;11715;72;De Juffrouw Petronella;Chialoup;73;Japara, ter rheede (Noordoostkust Java);9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
574;1699;11715;73;De Stompneus;Pantjalang;73;Japara, ter rheede (Noordoostkust Java);13;7;;;6;;;;;;;;;;;;;;;;;;;Batavia, etc;;Soldaat;Niet;;;9;;;Voornamen, met herkomst. Onder kop 'Inlanders';;;;;;;;;
575;1699;11715;74;De Koningsvis;Pantjalang;73;Japara, ter rheede (Noordoostkust Java);12;7;;;5;;;;;;;;;;;;;;;;;;;;;Soldaat;Niet;;;9;;;Voornamen, met herkomst. Onder kop 'Bougijsen';;;;;;;;;
576;1699;11715;75;De Soldaat;Schip;73;Japara, ter rheede (Noordoostkust Java);36;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1730.1;
577;1699;11715;76;"Diverse pantjalangs: Platvis; Bagger; Steenbrassem";Pantjalang;15;Kruijsende vaartuijgen;37;18;;;19;;;;;;;;;;;;;;;;;;;;;Soldaat;Corporaal;;12;9;;;Voornamen, met herkomst. Onder kop 'Inlandse militairen';;;;;;;;;
578;1699;11715;78;De Craanvogel;Chialoup;86;Banda, ter rheede;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579;1699;11715;79;Keffing;Chialoup;86;Banda, ter rheede;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
580;1699;11715;80;Commer;Chialoup;86;Banda, ter rheede;9;9;;;;;;;;;;;;;;;;;;;;;Temidden van bemanningslijst staan twee matrozen in Azië aangenomen en voor 6 gulden gage (overige matrozen tussen 9 en 12 gulden): 'Pieter Ommes van Banda' (aangenomen 1695) en 'Jacob Jurriaanse Tandel' (aangenomen 1694);;;;;;;;;;;;;;;;;;;
581;1699;11715;80;Waijer;Chialoup;86;Banda, ter rheede;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
582;1699;11715;81;Chirebon;Chialoup;86;Banda, ter rheede;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
583;1699;11715;82;Woggenum;Schip;15;Zee;68;68;;;;;;;;;;;;;;;;;;;;;"Temidden bemanningslijst onderaan lijst met matrozen staan twee matrozen in Azië aangenomen, te weten 'Hendrik Duran van Nagapatnam', voor 9 gulden en 'Christiaan Rijp van Canberen; geheel onderaan soldaat 'Hendrick de Bruijn van Batavia'";;;;;;;;;;;;;;;;;;1664.1;
584;1699;11715;85;Prinsland;Fluijt;15;Zee;71;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1690.5;
585;1699;11715;88;Het Kasteel Batavia;Schip;15;Zee;88;57;;19;12;;;;;;;;;;;;;;;;;;;;;Soldaat;Niet;;;9;;;Voornamen, met herkomst. Onder kop 'Maccassaerse soldaten'.;;;;;;;;;
586;1699;11715;93;De Veght;Schip;15;Zee;78;45;33;;;;1;;2;30;niet gegeven;;;;30 gemeeene moorse mattroossen;Bootsman (met kok en koksmaat);12;;10;7.5;Per groep, koks met achternamen;;" '33 Inlanders, namentlijk: Bagthaan, moor, bootsman; Nicolaes d'Rosairo, cock; Anthonij d'Rosairo, cocksmaet; 30 gemeene moorse mattroossen.'";;;;;;;;;;;;Jan Andriese;de;Ruijter;Enkhuijzen;;;1760.2;6033.2
587;1699;11715;95;Overrijp;Fluijt;15;Zee;142;73;;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NB: 27 soldaten als passagier;;;;;;;1784.2;6027.2
588;1699;11715;102;Evershem;Fluijt;15;Zee;82;53;29;;;;;;;29;niet gegeven;;;;29 moorse mattroossen;Niet;;;;7.5;Per groep;;Tevens onderaan bemanningslijst met Europeanen twee jongens aangenomen in Azië voor 6 gulden (Hendrik Andriese Luffe) en 5 gulden (Hans Jacob Bruijn van Malune).;;;;;;;;;;;;Adriaan;;Langscrant;Rotterdam;;;;
589;1699;11715;105;Ekelenburg;Schip;44;Bengalen, rivier Ganges;36;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1781.2;6035.2
590;1699;11715;107;De Geelvink;Jagt;44;Bengalen, rivier Ganges;45;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1740.1;6032.1
591;1699;11715;109;Langewijck;Fluijt;44;Bellesoon, ter rheede;81;39;34;8;;;2;;;32;Bengalen;44;;;32 gemeene mattrosen;Bootsman (2 bootslieden);;;;;Per groep, voorlieden met voornamen;Inlandse zeevarenden;" '34 Inlandse zeevarenden, namentlijk: Damma, bootsman; Zant, Bootsman; 32 gemeene mattrosen'.";;;;;;;;;;;;Hendrik;;Roos;Amsterdam;;;1652.5;
592;1699;11715;112;Oostsouburgh;Schip;15;Zee;84;59;;16;9;;;;;;;;;;;;;;;;;;;;;Soldaat;Niet;;;9;;;Voornamen. Geen herkomst. Onder kop 'Inlandse militairen'.;;;;;;;;;
593;1699;11715;116;Assendelft;Schip;15;Zee;82;79;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;NB: 3 passagiers;;;;;;;1773.2;6068.2
594;1699;11715;121;Susanna;Jagt;15;Zee;55;39;16;;;;;;2;14;niet gegeven;;;;14 mattroosen;Niet (wel 2 koks);;;10.5;7.5;Per groep;Inlanders;" '16 Inlanders, namentlijk: 2 cocx; 14 mattroosen'.";;;;;;;;;;;;Lambert;van;Couwenhoven;Donsh?;Aangekomen met Vrijburgh in 1699;;;
595;1699;11715;123;Huijs te Duijnen;Schip;15;Zee;63;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1736.2;6070.2
596;1699;11715;126;Vrijburg;Schip;15;Zee;92;84;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;NB: 8 passagiers;;;;;;;1779.2;6075.2
597;1699;11715;131;De Schelde;Schip;15;Zee;71;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
598;1699;11715;134;Het Haasje;Fluijt;15;Zee;40;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1755.1;
599;1699;11715;136;De Schulp;Fluijt;41;Tutucorijn, ter rhede;40;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1680.1;
600;1699;11715;138;Middelburgh;Chialoup;53;Palembangh;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601;1699;11715;138;Hoorn;Galjoot;31;Mocha, ter rhede;18;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
602;1699;11715;139;De Moercappel;Schip;31;Mocha, ter rhede;79;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1761.4;
603;1699;11715;143;Schoonderloo;Schip;31;Mocha, ter rhede;66;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1710.1;6047.1
